benchmark,code_comment_tokens_mean,elapsed_sec,mode,model_alias,model_id,n,out_dir,pass_rate,post_think_tokens_mean,problem_count,repeat,returncode,think_tokens_mean,total_tokens_mean
"mbpp_100","27.85","446.25164318084717","fsm_plan","qwen35","Qwen/Qwen3.6-35B-A3B","100","experiments/vllm_matrix_20260426/runs/qwen35/mbpp_100/fsm_plan/repeat_0","0.0","310.54","100","0","0","154.9","465.44"
"mbpp_100","34.71","2882.1008534431458","free","qwen35","Qwen/Qwen3.6-35B-A3B","100","experiments/vllm_matrix_20260426/runs/qwen35/mbpp_100/free/repeat_0","0.01","1117.74","100","0","0","2806.2","3923.94"
"mbpp_100","23.22","2651.0634837150574","prompt_terse","qwen35","Qwen/Qwen3.6-35B-A3B","100","experiments/vllm_matrix_20260426/runs/qwen35/mbpp_100/prompt_terse/repeat_0","0.0","2192.47","100","0","0","1359.69","3552.16"
"mbpp_100","21.95","428.20984268188477","fsm_base","qwen35","Qwen/Qwen3.6-35B-A3B","100","experiments/vllm_matrix_20260426/runs/qwen35/mbpp_100/fsm_base/repeat_0","0.0","336.52","100","0","0","104.32","440.84"
"lcb_v6_2025_50","3925.9","1892.6857633590698","fsm_plan","qwen35","Qwen/Qwen3.6-35B-A3B","50","experiments/vllm_matrix_20260426/runs/qwen35/lcb_v6_2025_50/fsm_plan/repeat_0","0.62","4711.46","50","0","0","158.22","4869.68"
"lcb_v6_2025_50","3494.48","1722.7374484539032","fsm_plan","qwen35","Qwen/Qwen3.6-35B-A3B","50","experiments/vllm_matrix_20260426/runs/qwen35/lcb_v6_2025_50/fsm_plan/repeat_2","0.7","4235.04","50","2","0","158.96","4394.0"
"lcb_v6_2025_50","3943.82","1892.1648519039154","fsm_plan","qwen35","Qwen/Qwen3.6-35B-A3B","50","experiments/vllm_matrix_20260426/runs/qwen35/lcb_v6_2025_50/fsm_plan/repeat_1","0.66","4709.92","50","1","0","159.98","4869.9"
"lcb_v6_2025_50","264.94","2423.3094222545624","prompt_terse","qwen35","Qwen/Qwen3.6-35B-A3B","50","experiments/vllm_matrix_20260426/runs/qwen35/lcb_v6_2025_50/prompt_terse/repeat_1","0.8","952.2","50","1","0","7816.8","8769.0"
"lcb_v6_2025_50","34.58","3064.66925573349","prompt_terse","qwen35","Qwen/Qwen3.6-35B-A3B","50","experiments/vllm_matrix_20260426/runs/qwen35/lcb_v6_2025_50/prompt_terse/repeat_2","0.72","563.14","50","2","0","8824.2","9387.34"
"lcb_v6_2025_50","70.34","3062.318142414093","prompt_terse","qwen35","Qwen/Qwen3.6-35B-A3B","50","experiments/vllm_matrix_20260426/runs/qwen35/lcb_v6_2025_50/prompt_terse/repeat_0","0.84","550.1","50","0","0","7851.86","8401.96"
"lcb_v6_2025_50","3821.44","1842.915996313095","fsm_base","qwen35","Qwen/Qwen3.6-35B-A3B","50","experiments/vllm_matrix_20260426/runs/qwen35/lcb_v6_2025_50/fsm_base/repeat_0","0.58","4623.06","50","0","0","98.34","4721.4"
"lcb_v6_2025_50","3510.24","1694.0010070800781","fsm_base","qwen35","Qwen/Qwen3.6-35B-A3B","50","experiments/vllm_matrix_20260426/runs/qwen35/lcb_v6_2025_50/fsm_base/repeat_1","0.68","4204.4","50","1","0","98.02","4302.42"
"lcb_v6_2025_50","4125.88","1935.6515669822693","fsm_base","qwen35","Qwen/Qwen3.6-35B-A3B","50","experiments/vllm_matrix_20260426/runs/qwen35/lcb_v6_2025_50/fsm_base/repeat_2","0.62","4883.1","50","2","0","99.96","4983.06"
"lcb_v6_2025_50","84.58","4613.028911113739","free","qwen35","Qwen/Qwen3.6-35B-A3B","50","experiments/vllm_matrix_20260426/runs/qwen35/lcb_v6_2025_50/free/repeat_0","0.56","3022.36","50","0","0","10228.66","13251.02"
"lcb_v6_2025_50","154.92","4414.530088424683","free","qwen35","Qwen/Qwen3.6-35B-A3B","50","experiments/vllm_matrix_20260426/runs/qwen35/lcb_v6_2025_50/free/repeat_1","0.64","2113.76","50","1","0","10443.14","12556.9"
"lcb_v6_2025_50","52.7","4526.571799039841","free","qwen35","Qwen/Qwen3.6-35B-A3B","50","experiments/vllm_matrix_20260426/runs/qwen35/lcb_v6_2025_50/free/repeat_2","0.54","2378.22","50","2","0","10537.36","12915.58"
"humaneval_full","1.7926829268292683","3133.8730998039246","prompt_terse","qwen35","Qwen/Qwen3.6-35B-A3B","164","experiments/vllm_matrix_20260426/runs/qwen35/humaneval_full/prompt_terse/repeat_0","0.926829268292683","562.6036585365854","164","0","0","2189.1158536585367","2751.7195121951218"
"humaneval_full","2.1646341463414633","2532.028929710388","prompt_terse","qwen35","Qwen/Qwen3.6-35B-A3B","164","experiments/vllm_matrix_20260426/runs/qwen35/humaneval_full/prompt_terse/repeat_2","0.9512195121951219","460.7378048780488","164","2","0","2048.682926829268","2509.420731707317"
"humaneval_full","1.6097560975609757","2827.163416624069","prompt_terse","qwen35","Qwen/Qwen3.6-35B-A3B","164","experiments/vllm_matrix_20260426/runs/qwen35/humaneval_full/prompt_terse/repeat_1","0.9573170731707317","666.1158536585366","164","1","0","2203.0853658536585","2869.201219512195"
"humaneval_full","23.658536585365855","422.27743792533875","fsm_plan","qwen35","Qwen/Qwen3.6-35B-A3B","164","experiments/vllm_matrix_20260426/runs/qwen35/humaneval_full/fsm_plan/repeat_0","0.8841463414634146","245.41463414634146","164","0","0","197.84756097560975","443.2621951219512"
"humaneval_full","25.695121951219512","626.7414009571075","fsm_plan","qwen35","Qwen/Qwen3.6-35B-A3B","164","experiments/vllm_matrix_20260426/runs/qwen35/humaneval_full/fsm_plan/repeat_2","0.9146341463414634","246.51829268292684","164","2","0","201.35365853658536","447.8719512195122"
"humaneval_full","59.78658536585366","651.71626329422","fsm_plan","qwen35","Qwen/Qwen3.6-35B-A3B","164","experiments/vllm_matrix_20260426/runs/qwen35/humaneval_full/fsm_plan/repeat_1","0.9146341463414634","288.4207317073171","164","1","0","197.6890243902439","486.109756097561"
"humaneval_full","3.1158536585365852","3241.1007549762726","free","qwen35","Qwen/Qwen3.6-35B-A3B","164","experiments/vllm_matrix_20260426/runs/qwen35/humaneval_full/free/repeat_1","0.9390243902439024","444.7926829268293","164","1","0","2953.0731707317073","3397.8658536585367"
"humaneval_full","2.231707317073171","3228.69940328598","free","qwen35","Qwen/Qwen3.6-35B-A3B","164","experiments/vllm_matrix_20260426/runs/qwen35/humaneval_full/free/repeat_2","0.9329268292682927","246.1280487804878","164","2","0","3131.3475609756097","3377.4756097560976"
"humaneval_full","3.1280487804878048","3133.4282097816467","free","qwen35","Qwen/Qwen3.6-35B-A3B","164","experiments/vllm_matrix_20260426/runs/qwen35/humaneval_full/free/repeat_0","0.926829268292683","331.1890243902439","164","0","0","2914.060975609756","3245.25"
"humaneval_full","27.353658536585368","355.9857659339905","fsm_base","qwen35","Qwen/Qwen3.6-35B-A3B","164","experiments/vllm_matrix_20260426/runs/qwen35/humaneval_full/fsm_base/repeat_0","0.9085365853658537","251.5060975609756","164","0","0","97.5609756097561","349.0670731707317"
"humaneval_full","30.859756097560975","429.6422049999237","fsm_base","qwen35","Qwen/Qwen3.6-35B-A3B","164","experiments/vllm_matrix_20260426/runs/qwen35/humaneval_full/fsm_base/repeat_1","0.9207317073170732","253.66463414634146","164","1","0","99.57317073170732","353.2378048780488"
"humaneval_full","23.926829268292682","542.2694933414459","fsm_base","qwen35","Qwen/Qwen3.6-35B-A3B","164","experiments/vllm_matrix_20260426/runs/qwen35/humaneval_full/fsm_base/repeat_2","0.8902439024390244","245.39634146341464","164","2","0","95.60975609756098","341.0060975609756"
"lcb_v6_2025_50","0.0","6585.39267539978","fsm_base","deepseek_llama8","deepseek-ai/DeepSeek-R1-Distill-Llama-8B","50","experiments/vllm_matrix_20260426/runs/deepseek_llama8/lcb_v6_2025_50/fsm_base/repeat_0","0.0","14334.0","50","0","0","2050.0","16384.0"
