benchmark,extraction_issue,failure_type,mode,model_alias,pass,post_think_tokens,repeat,task_id,think_tokens,total_tokens
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","148","0","2","188","336"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","275","0","3","217","492"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","143","0","4","213","356"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","164","0","6","280","444"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","129","0","7","147","276"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","101","0","8","153","254"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","183","0","9","247","430"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","343","0","11","93","436"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","105","0","12","129","234"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","519","0","14","82","601"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","221","0","16","242","463"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","123","0","17","121","244"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","126","0","18","137","263"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","119","0","19","83","202"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","155","0","20","132","287"
"mbpp_100","unterminated_fence","missing_entry_point","fsm_plan","qwen35","False","8020","0","56","172","8192"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","175","0","57","133","308"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","157","0","58","192","349"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","153","0","59","125","278"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","189","0","61","166","355"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","254","0","62","184","438"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","220","0","63","242","462"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","344","0","64","125","469"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","246","0","65","125","371"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","179","0","66","80","259"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","362","0","67","176","538"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","352","0","68","79","431"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","528","0","69","106","634"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","122","0","70","140","262"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","704","0","71","246","950"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","496","0","72","287","783"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","468","0","74","144","612"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","287","0","75","123","410"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","121","0","77","147","268"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","96","0","79","197","293"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","217","0","80","109","326"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","115","0","82","129","244"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","307","0","84","78","385"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","124","0","85","97","221"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","165","0","86","132","297"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","142","0","87","167","309"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","131","0","88","105","236"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","942","0","89","137","1079"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","133","0","90","95","228"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","135","0","91","154","289"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","225","0","92","136","361"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","279","0","93","253","532"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","137","0","94","127","264"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","139","0","95","268","407"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","293","0","96","146","439"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","162","0","97","339","501"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","151","0","98","119","270"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","132","0","99","123","255"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","117","0","100","109","226"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","243","0","101","117","360"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","144","0","102","134","278"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","542","0","103","161","703"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","108","0","104","112","220"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","151","0","105","149","300"
"mbpp_100","none","missing_entry_point","fsm_plan","qwen35","False","117","0","106","130","247"
